module_id,prof_id,n_hours,degree,degree_year
68,63,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,1
68,63,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,1
68,107,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,1
68,107,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,1
68,107,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,1
68,107,3,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,1
69,62,1,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
69,62,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
70,10,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
70,13,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
71,74,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,2
72,75,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
73,11,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,2
73,64,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,2
74,74,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
74,103,4,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
75,74,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
76,74,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
77,87,4,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,1
78,25,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
79,51,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,3
80,57,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,3
81,32,2,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,"[1,2]"
82,32,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
82,32,3,Laurea in Informatica [420] Corsi di laurea - UNICO,1
82,112,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
82,112,3,Laurea in Informatica [420] Corsi di laurea - UNICO,1
83,112,3,Laurea in Informatica [420] Corsi di laurea - UNICO,1
83,112,2,Laurea in Informatica [420] Corsi di laurea - UNICO,1
84,14,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
84,14,4,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
84,104,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
84,104,4,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
85,88,3,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
86,88,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
87,21,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
88,61,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
88,109,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,"[1,2]"
89,18,2,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,1
89,46,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,1
90,6,3,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,3
90,6,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,3
91,36,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,"[1,2]"
92,76,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - MATHEMATICS FOR EDUCATION,"[1,2]"
92,76,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,"[1,2]"
93,43,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,2
93,43,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,2
94,46,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,3
94,67,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,3
95,26,2,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,3
95,26,1,Laurea in Matematica Applicata [418] Corsi di laurea - MODELLISTICO-COMPUTAZIONALE,3
95,26,2,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,3
95,26,1,Laurea in Matematica Applicata [418] Corsi di laurea - ECONOMICO-FINANZIARIO,3
96,46,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,1
97,66,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
97,90,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
97,96,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
97,106,3,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
98,84,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
98,84,1,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
98,100,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
99,87,4,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
100,87,2,Laurea in Innovazione e sostenibilita' nella produzione industriale di alimenti [1049] Corsi di laurea - UNICO,2
101,84,2,Laurea magistrale a ciclo unico in Odontoiatria e protesi dentaria [396] Corsi di laurea magistrale a ciclo unico - UNICO,2
101,84,4,Laurea magistrale a ciclo unico in Odontoiatria e protesi dentaria [396] Corsi di laurea magistrale a ciclo unico - UNICO,2
102,33,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,2
103,3,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
103,16,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,1
104,8,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
105,28,2,Laurea magistrale in Molecular and medical biotechnology [698] Corsi di laurea magistrale - UNICO,1
106,29,3,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,2
107,80,2,Laurea magistrale in Biotecnologie per le biorisorse e lo sviluppo ecosostenibile [907] Corsi di laurea magistrale - UNICO,2
108,43,2,Laurea magistrale in Medical bioinformatics [769] Corsi di laurea magistrale - UNICO,2
109,63,2,Laurea magistrale in Mathematics [389] Corsi di laurea magistrale - APPLIED MATHEMATICS,2
110,23,2,Laurea in Biotecnologie [385] Corsi di laurea - UNICO,3
111,44,2,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,2
111,44,3,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,2
112,73,3,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
112,73,2,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
113,12,2,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
113,12,3,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
113,73,2,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
113,73,3,Laurea magistrale in Artificial Intelligence [1046] Corsi di laurea magistrale - UNICO,1
114,19,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,1
114,19,3,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,1
114,111,2,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,1
114,111,3,Laurea magistrale in Data Science [955] Corsi di laurea magistrale - UNICO,1
115,55,2,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,2
116,55,3,Laurea in Bioinformatica [419] Corsi di laurea - UNICO,2
117,21,3,Laurea magistrale in Computer Engineering for Robotics and Smart Industry [954] Corsi di laurea magistrale - UNICO,1
