prof_id,week_day,hour_begin,hour_end,level,note,constraint
45,Mon,08:30,10:30,undesired,,"not (Mon, [08:30, 10:30])"
45,Tue,08:30,10:30,undesired,,"not (Tue, [08:30, 10:30])"
45,Wed,08:30,10:30,undesired,,"not (Wed, [08:30, 10:30])"
45,Thu,08:30,10:30,undesired,,"not (Thu, [08:30, 10:30])"
45,Fri,08:30,10:30,undesired,,"not (Fri, [08:30, 10:30])"
45,,,,,Best Tuesday and Thursday afternoons.,"OK (Tue, [13:00, inf]) & OK (Thu, [13:00, inf])"
14,Mon,10:30,12:30,undesired,,"not (Mon, [10:30, 12:30])"
14,Mon,14:30,15:30,undesired,,"not (Mon, [14:30, 15:30])"
14,Tue,10:30,12:30,undesired,,"not (Tue, [10:30, 12:30])"
14,Wed,10:30,12:30,undesired,,"not (Wed, [10:30, 12:30])"
14,Thu,14:30,15:30,undesired,,"not (Thu, [14:30, 15:30])"
14,Thu,10:30,12:30,impossible,,"NOT (Thu, [10:30, 12:30])"
14,,,,,Best Tuesday 13:30-15:30 and Wednesday 13:30-15:30,"OK (Tue, [13:00, 15:30]) & OK (Wed, [13:00, 15:30])"
29,Mon,10:30,13:30,undesired,,"not (Mon, [10:30, 13:30])"
29,Mon,15:30,16:30,undesired,,"not (Mon, [15:30, 16:30])"
29,Tue,15:30,16:30,undesired,,"not (Tue, [15:30, 16:30])"
29,Wed,15:30,16:30,undesired,,"not (Wed, [15:30, 16:30])"
29,Thu,15:30,16:30,undesired,,"not (Thu, [15:30, 16:30])"
29,Fri,15:30,16:30,undesired,,"not (Fri, [15:30, 16:30])"
29,Mon,16:30,17:30,impossible,,"NOT (Mon, [16:30, 17:30])"
29,Tue,16:30,17:30,impossible,,"NOT (Tue, [16:30, 17:30])"
6,Tue,08:30,12:30,undesired,,"not (Tue, [08:30, 12:30])"
6,Wed,08:30,12:30,undesired,,"not (Wed, [08:30, 12:30])"
6,Tue,12:30,13:30,impossible,,"NOT (Tue, [12:30, 13:30])"
6,Wed,12:30,13:30,impossible,,"NOT (Wed, [12:30, 13:30])"
6,,,,,NO Tuesdays and Wednesdays from 10:00 to 13:30 --> class other venue. OK Tuesdays and Wednesdays from 14:15.,"other_venue & NOT (Tue, [-inf, 14:15]) & NOT (Wed, [-inf, 14:15])"
53,Mon,10:30,11:30,undesired,,"not (Mon, [10:30, 11:30])"
53,Tue,10:30,11:30,undesired,,"not (Tue, [10:30, 11:30])"
53,Tue,15:30,16:30,undesired,,"not (Tue, [15:30, 16:30])"
53,Wed,15:30,16:30,undesired,,"not (Wed, [15:30, 16:30])"
53,Thu,10:30,11:30,undesired,,"not (Thu, [10:30, 11:30])"
53,Thu,15:30,16:30,undesired,,"not (Thu, [15:30, 16:30])"
53,Fri,10:30,11:30,undesired,,"not (Fri, [10:30, 11:30])"
53,Fri,15:30,16:30,undesired,,"not (Fri, [15:30, 16:30])"
53,Mon,15:30,16:30,impossible,,"NOT (Mon, [15:30, 16:30])"
53,Wed,10:30,11:30,impossible,,"NOT (Wed, [10:30, 11:30])"
13,Mon,08:30,09:30,undesired,,"not (Mon, [08:30, 09:30])"
13,Mon,16:30,17:30,undesired,,"not (Mon, [16:30, 17:30])"
13,Tue,08:30,09:30,undesired,,"not (Tue, [08:30, 09:30])"
13,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
13,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
13,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
40,Mon,13:30,15:30,undesired,,"not (Mon, [13:30, 15:30])"
40,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
40,Thu,13:30,15:30,undesired,,"not (Thu, [13:30, 15:30])"
40,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
40,Fri,13:30,15:30,undesired,,"not (Fri, [13:30, 15:30])"
40,Mon,08:30,09:30,impossible,,"NOT (Mon, [08:30, 09:30])"
40,Tue,08:30,09:30,impossible,,"NOT (Tue, [08:30, 09:30])"
59,Mon,10:30,17:30,undesired,,"not (Mon, [10:30, 17:30])"
59,Fri,16:30,17:30,undesired,,"not (Fri, [16:30, 17:30])"
59,Mon,08:30,10:30,impossible,,"NOT (Mon, [08:30, 10:30])"
63,Mon,08:30,09:30,undesired,,"not (Mon, [08:30, 09:30])"
63,Mon,18:30,19:30,undesired,,"not (Mon, [18:30, 19:30])"
63,Tue,08:30,09:30,undesired,,"not (Tue, [08:30, 09:30])"
63,Tue,18:30,19:30,undesired,,"not (Tue, [18:30, 19:30])"
63,Wed,08:30,09:30,undesired,,"not (Wed, [08:30, 09:30])"
63,Wed,18:30,19:30,undesired,,"not (Wed, [18:30, 19:30])"
63,Thu,08:30,09:30,undesired,,"not (Thu, [08:30, 09:30])"
63,Thu,18:30,19:30,undesired,,"not (Thu, [18:30, 19:30])"
63,Fri,08:30,09:30,undesired,,"not (Fri, [08:30, 09:30])"
63,Fri,18:30,19:30,undesired,,"not (Fri, [18:30, 19:30])"
63,,,,,"NO Tuesdays, Wednesdays and Thursdays --> (CUN sessions)","other_venue & NOT Tue & NOT Wed & NOT Thu"
51,Wed,15:30,19:30,undesired,,"not (Wed, [15:30, 19:30])"
51,Thu,15:30,19:30,undesired,,"not (Thu, [15:30, 19:30])"
51,Wed,14:30,15:30,impossible,,"NOT (Wed, [14:30, 15:30])"
51,Thu,14:30,15:30,impossible,,"NOT (Thu, [14:30, 15:30])"
51,,,,,NO Wednesday and Thursday afternoons --> class other venue,"other_venue & NOT (Wed, [13:00, inf]) & NOT (Thu, [13:00, inf])"
65,Wed,10:30,12:30,undesired,,"not (Wed, [10:30, 12:30])"
65,Thu,08:30,10:30,impossible,,"NOT (Thu, [08:30, 10:30])"
65,,,,,NO Wednesdays from 10:30 to 12:30 and on Thursdays from 8:30 to 10:30 --> class other venue,"other_venue & NOT (Wed, [10:30, 12:30]) & NOT (Thu, [08:30, 10:30])"
54,Fri,10:30,18:30,undesired,,"not (Fri, [10:30, 18:30])"
54,Mon,18:30,19:30,impossible,,"NOT (Mon, [18:30, 19:30])"
54,Fri,18:30,19:30,impossible,,"NOT (Fri, [18:30, 19:30])"
54,,,,,NO Thursday afternoons --> class other venue,"other_venue & NOT (Thu, [13:00, inf])"
60,Mon,18:30,19:30,undesired,,"not (Mon, [18:30, 19:30])"
60,Tue,08:30,09:30,undesired,,"not (Tue, [08:30, 09:30])"
60,Tue,18:30,19:30,undesired,,"not (Tue, [18:30, 19:30])"
